"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Poss","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_Ons","Succ_Take_Ons","Succ_percent_Take_Ons","Tkld_Take_Ons","Tkld_percent_Take_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving"
"1","La Liga","M","ESP",2022,"Alavés","team",33,42,38,18371,2222,6215,8104,4235,605,18364,504,271,53.8,233,46.2,8699,42737,20539,420,310,102,616,278,9576,969
"2","La Liga","M","ESP",2022,"Athletic Club","team",26,48.1,38,21254,2066,6214,9532,5722,799,21247,530,297,56,232,43.8,10777,57778,30509,653,461,146,569,341,12839,1559
"3","La Liga","M","ESP",2022,"Atlético Madrid","team",26,50.6,38,23038,2006,6787,10729,5702,868,23033,600,383,63.8,217,36.2,12629,65613,34800,705,531,164,555,353,14978,1456
"4","La Liga","M","ESP",2022,"Barcelona","team",38,64.2,38,28778,2236,7093,14319,7567,1055,28771,747,474,63.5,273,36.5,18228,93372,52508,961,704,280,623,358,21334,2059
"5","La Liga","M","ESP",2022,"Betis","team",31,53.7,38,23691,2299,7311,10969,5603,826,23685,655,372,56.8,283,43.2,13042,66497,33876,666,482,187,588,364,15573,1501
"6","La Liga","M","ESP",2022,"Celta Vigo","team",25,55.2,38,24789,2272,7479,11772,5737,719,24783,591,346,58.5,244,41.3,13606,72693,38568,665,544,125,572,310,15869,1434
"7","La Liga","M","ESP",2022,"Cádiz","team",33,41.3,38,18574,2215,6501,7898,4374,646,18568,519,281,54.1,238,45.9,9062,51953,26751,571,382,106,576,291,10039,1063
"8","La Liga","M","ESP",2022,"Elche","team",28,48.4,38,20889,2493,7657,9086,4313,498,20888,597,339,56.8,258,43.2,11059,55476,26247,531,403,89,650,330,12844,1087
"9","La Liga","M","ESP",2022,"Espanyol","team",34,46.9,38,20970,2604,7525,9167,4471,581,20965,616,373,60.6,243,39.4,11191,60124,30222,610,468,119,563,331,13239,1196
"10","La Liga","M","ESP",2022,"Getafe","team",31,41.5,38,18658,2003,5988,8734,4125,551,18653,452,242,53.5,210,46.5,9326,44746,20748,399,328,92,603,301,10197,910
"11","La Liga","M","ESP",2022,"Granada","team",32,44.7,38,19055,2401,6704,8239,4287,600,19050,495,270,54.5,225,45.5,9255,49523,24761,435,354,96,588,321,10466,1036
"12","La Liga","M","ESP",2022,"Levante","team",31,47.2,38,20500,2377,7382,8840,4535,719,20487,683,348,51,335,49,10842,56754,29187,569,405,154,614,302,12487,1334
"13","La Liga","M","ESP",2022,"Mallorca","team",33,45.3,38,19305,2231,6593,8320,4619,647,19298,612,368,60.1,244,39.9,10034,55423,27611,575,449,112,613,404,10923,1110
"14","La Liga","M","ESP",2022,"Osasuna","team",29,46.9,38,20565,2013,6066,9272,5397,697,20557,467,261,55.9,206,44.1,10211,50361,23279,417,358,76,597,309,11775,1313
"15","La Liga","M","ESP",2022,"Rayo Vallecano","team",28,49.9,38,21279,2161,6591,9702,5241,734,21275,639,357,55.9,282,44.1,10829,61444,32089,697,497,151,696,371,12632,1299
"16","La Liga","M","ESP",2022,"Real Madrid","team",31,59.9,38,28389,2399,8154,12038,8430,1198,28377,780,456,58.5,324,41.5,18562,96303,51714,1029,757,330,495,277,21234,2061
"17","La Liga","M","ESP",2022,"Real Sociedad","team",32,54.3,38,23452,2574,7504,10671,5504,851,23442,670,360,53.7,310,46.3,13289,69380,36038,667,546,178,626,391,15188,1447
"18","La Liga","M","ESP",2022,"Sevilla","team",33,59.4,38,25980,2692,8904,11372,5872,742,25977,588,305,51.9,283,48.1,15097,68309,34977,625,517,139,589,326,18197,1580
"19","La Liga","M","ESP",2022,"Valencia","team",34,43.6,38,17905,1994,5790,7525,4822,630,17896,642,360,56.1,282,43.9,9186,52453,27482,554,449,109,656,294,9503,1187
"20","La Liga","M","ESP",2022,"Villarreal","team",29,56.8,38,24258,2439,7743,10778,5950,974,24252,746,450,60.3,296,39.7,14622,78519,42169,790,483,240,570,332,16415,1683
"21","La Liga","M","ESP",2022,"vs Alavés","opponent",33,58.2,38,24006,2263,7419,10974,5796,897,23997,638,375,58.8,262,41.1,13155,67162,34846,656,466,159,632,288,15266,1558
"22","La Liga","M","ESP",2022,"vs Athletic Club","opponent",26,51.9,38,23145,2686,8299,9724,5338,738,23142,582,358,61.5,224,38.5,13233,61552,29810,586,413,154,626,284,14558,1356
"23","La Liga","M","ESP",2022,"vs Atlético Madrid","opponent",26,49.4,38,22840,2520,7416,10829,4797,518,22832,619,326,52.7,293,47.3,12320,62922,31387,495,430,78,587,343,14731,1304
"24","La Liga","M","ESP",2022,"vs Barcelona","opponent",38,35.2,38,18008,2652,7090,7453,3639,576,18005,493,249,50.5,244,49.5,9266,49398,23152,448,287,136,569,343,10357,931
"25","La Liga","M","ESP",2022,"vs Betis","opponent",31,45.9,38,21018,2221,6760,9187,5302,736,21015,695,371,53.4,324,46.6,11051,61249,32663,686,469,160,562,338,12921,1356
"26","La Liga","M","ESP",2022,"vs Celta Vigo","opponent",25,44.4,38,21082,2265,6965,9473,4873,676,21074,762,476,62.5,286,37.5,10464,53122,25441,547,395,133,679,410,12239,1241
"27","La Liga","M","ESP",2022,"vs Cádiz","opponent",33,59.1,38,24939,2196,6771,12031,6336,803,24926,712,410,57.6,302,42.4,14139,77242,41615,735,581,139,672,345,16592,1789
"28","La Liga","M","ESP",2022,"vs Elche","opponent",28,51.6,38,22214,1764,6198,10589,5631,834,22205,623,354,56.8,268,43,12291,66584,35516,657,488,163,567,321,14181,1463
"29","La Liga","M","ESP",2022,"vs Espanyol","opponent",34,52.9,38,23110,1938,6189,10593,6526,976,23105,646,371,57.4,275,42.6,12859,72070,39484,800,567,194,533,282,15370,1679
"30","La Liga","M","ESP",2022,"vs Getafe","opponent",31,58.8,38,25022,2099,7619,12389,5225,653,25018,594,346,58.2,248,41.8,14196,68698,34864,612,505,111,621,339,16581,1509
"31","La Liga","M","ESP",2022,"vs Granada","opponent",32,66,38,22987,2120,6813,10236,6130,960,22978,632,358,56.6,274,43.4,12410,63240,33624,706,505,190,644,337,14472,1594
"32","La Liga","M","ESP",2022,"vs Levante","opponent",31,53.1,38,22619,2204,6680,10519,5639,842,22613,611,374,61.2,237,38.8,12819,67914,35497,716,561,187,554,321,14569,1437
"33","La Liga","M","ESP",2022,"vs Mallorca","opponent",33,54.9,38,22593,2165,6846,10513,5434,804,22585,551,303,55,248,45,12228,64653,33902,650,495,141,622,359,14251,1358
"34","La Liga","M","ESP",2022,"vs Osasuna","opponent",29,53.3,38,23306,2463,7877,10125,5520,747,23299,598,347,58,251,42,12658,67449,35402,722,527,182,603,326,14488,1309
"35","La Liga","M","ESP",2022,"vs Rayo Vallecano","opponent",28,50.1,38,21403,2364,7202,9223,5218,723,21394,688,408,59.3,280,40.7,11305,58159,29428,603,470,154,614,341,12807,1315
"36","La Liga","M","ESP",2022,"vs Real Madrid","opponent",31,34,38,20331,2591,6738,8722,5040,681,20326,502,291,58,211,42,11747,60712,32279,632,509,147,507,349,13167,1250
"37","La Liga","M","ESP",2022,"vs Real Sociedad","opponent",32,45.3,38,20488,2362,6990,8514,5184,665,20482,546,286,52.4,260,47.6,11269,57819,28984,587,471,149,625,326,12202,1191
"38","La Liga","M","ESP",2022,"vs Sevilla","opponent",33,40.2,38,19020,2220,6221,8288,4698,685,19016,542,306,56.5,236,43.5,9919,52159,26910,521,423,124,558,298,11202,1174
"39","La Liga","M","ESP",2022,"vs Valencia","opponent",34,56.4,38,21974,2234,7262,9584,5338,726,21966,623,357,57.3,266,42.7,11943,61183,31339,597,444,133,663,325,13584,1383
"40","La Liga","M","ESP",2022,"vs Villarreal","opponent",29,43,38,19595,2370,6846,8101,4842,700,19590,476,247,51.9,229,48.1,10274,56171,27932,583,422,161,521,309,11770,1087
