"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected"
"1","La Liga","M","ESP",2022,"Alavés","team",33,38,29,373,111,29.8,9.82,2.92,0.06,0.21,18.2,15,6,7,37.3,31.8,0.09,-8.3,-8.8
"2","La Liga","M","ESP",2022,"Athletic Club","team",26,38,40,460,150,32.6,12.11,3.95,0.08,0.25,16.8,11,3,7,49.6,44,0.1,-9.6,-7
"3","La Liga","M","ESP",2022,"Atlético Madrid","team",26,38,63,458,152,33.2,12.05,4,0.13,0.39,17.5,8,4,5,54.4,50.6,0.11,8.6,8.4
"4","La Liga","M","ESP",2022,"Barcelona","team",38,38,68,511,177,34.6,13.45,4.66,0.12,0.35,17.1,15,6,7,63.4,57.9,0.12,4.6,4.1
"5","La Liga","M","ESP",2022,"Betis","team",31,38,60,509,182,35.8,13.39,4.79,0.11,0.3,18.4,21,6,6,53.5,48.8,0.1,6.5,5.2
"6","La Liga","M","ESP",2022,"Celta Vigo","team",25,38,43,405,135,33.3,10.66,3.55,0.1,0.3,18.3,14,3,6,43.1,38.3,0.1,-0.1,1.7
"7","La Liga","M","ESP",2022,"Cádiz","team",33,38,35,405,118,29.1,10.66,3.11,0.08,0.27,17.9,14,3,6,39.5,34.8,0.09,-4.5,-2.8
"8","La Liga","M","ESP",2022,"Elche","team",28,38,39,334,106,31.7,8.79,2.79,0.11,0.36,18,8,1,1,33.7,32.9,0.1,5.3,5.1
"9","La Liga","M","ESP",2022,"Espanyol","team",34,38,39,403,128,31.8,10.61,3.37,0.08,0.27,19.5,24,5,5,36.7,32.9,0.08,2.3,1.1
"10","La Liga","M","ESP",2022,"Getafe","team",31,38,31,404,111,27.5,10.63,2.92,0.07,0.25,20.6,29,3,5,29.3,25.3,0.06,1.7,2.7
"11","La Liga","M","ESP",2022,"Granada","team",32,38,43,421,131,31.1,11.08,3.45,0.1,0.31,19.2,12,3,5,39,35.1,0.09,4,4.9
"12","La Liga","M","ESP",2022,"Levante","team",31,38,51,430,146,34,11.32,3.84,0.1,0.29,17.7,14,8,13,55.1,45.1,0.11,-4.1,-2.1
"13","La Liga","M","ESP",2022,"Mallorca","team",33,38,33,440,131,29.8,11.58,3.45,0.06,0.21,19.5,23,6,7,38.8,33.3,0.08,-5.8,-6.3
"14","La Liga","M","ESP",2022,"Osasuna","team",29,38,37,425,114,26.8,11.18,3,0.07,0.27,19.6,11,6,8,36.7,30.7,0.07,0.3,0.3
"15","La Liga","M","ESP",2022,"Rayo Vallecano","team",28,38,38,500,133,26.6,13.16,3.5,0.07,0.26,18.5,27,4,4,42.8,39.7,0.08,-4.8,-5.7
"16","La Liga","M","ESP",2022,"Real Madrid","team",31,38,80,645,243,37.7,16.97,6.39,0.11,0.3,18.8,21,8,12,71.7,62.2,0.1,8.3,9.8
"17","La Liga","M","ESP",2022,"Real Sociedad","team",32,38,40,430,143,33.3,11.32,3.76,0.07,0.22,17.1,18,9,10,51.5,43.8,0.1,-11.5,-12.8
"18","La Liga","M","ESP",2022,"Sevilla","team",33,38,51,430,139,32.3,11.32,3.66,0.11,0.35,17,10,2,3,42.4,40,0.09,8.6,9
"19","La Liga","M","ESP",2022,"Valencia","team",34,38,45,394,129,32.7,10.37,3.39,0.09,0.29,18.9,18,8,9,39,32.2,0.08,6,4.8
"20","La Liga","M","ESP",2022,"Villarreal","team",29,38,62,449,164,36.5,11.82,4.32,0.13,0.35,15.3,8,5,6,64.2,60,0.14,-2.2,-3
"21","La Liga","M","ESP",2022,"vs Alavés","opponent",33,38,65,509,159,31.2,13.39,4.18,0.12,0.37,17.3,20,6,9,57,50,0.1,8,9
"22","La Liga","M","ESP",2022,"vs Athletic Club","opponent",26,38,35,440,128,29.1,11.58,3.37,0.07,0.25,18.5,20,3,3,38.4,36,0.08,-3.4,-4
"23","La Liga","M","ESP",2022,"vs Atlético Madrid","opponent",26,38,40,349,98,28.1,9.18,2.58,0.09,0.34,19.2,17,7,8,33.4,27.4,0.08,6.6,5.6
"24","La Liga","M","ESP",2022,"vs Barcelona","opponent",38,38,38,349,120,34.4,9.18,3.16,0.1,0.3,18.1,13,2,3,34.4,32.1,0.09,3.6,3.9
"25","La Liga","M","ESP",2022,"vs Betis","opponent",31,38,38,430,129,30,11.32,3.39,0.08,0.27,17.3,11,3,3,43.4,41.1,0.1,-5.4,-6.1
"26","La Liga","M","ESP",2022,"vs Celta Vigo","opponent",25,38,41,397,128,32.2,10.45,3.37,0.09,0.29,18,16,4,8,45.7,39.4,0.1,-4.7,-2.4
"27","La Liga","M","ESP",2022,"vs Cádiz","opponent",33,38,51,461,157,34.1,12.13,4.13,0.09,0.25,18.5,20,11,13,48.3,38.2,0.08,2.7,1.8
"28","La Liga","M","ESP",2022,"vs Elche","opponent",28,38,52,513,166,32.4,13.5,4.37,0.09,0.27,18,23,7,9,59.1,52.1,0.1,-7.1,-7.1
"29","La Liga","M","ESP",2022,"vs Espanyol","opponent",34,38,51,497,165,33.2,13.08,4.34,0.09,0.28,17.2,14,4,5,51.2,47.3,0.1,-0.2,-0.3
"30","La Liga","M","ESP",2022,"vs Getafe","opponent",31,38,40,408,129,31.6,10.74,3.39,0.09,0.29,19,22,2,4,38.6,35.5,0.09,1.4,2.5
"31","La Liga","M","ESP",2022,"vs Granada","opponent",32,38,59,555,184,33.2,14.61,4.84,0.09,0.28,17.9,15,7,9,61.2,54.6,0.1,-2.2,-2.6
"32","La Liga","M","ESP",2022,"vs Levante","opponent",31,38,76,508,197,38.8,13.37,5.18,0.14,0.36,17.8,15,5,6,55,50.2,0.1,21,20.8
"33","La Liga","M","ESP",2022,"vs Mallorca","opponent",33,38,59,460,144,31.3,12.11,3.79,0.12,0.37,17.8,14,6,8,49.3,43,0.1,9.7,10
"34","La Liga","M","ESP",2022,"vs Osasuna","opponent",29,38,49,437,144,33,11.5,3.79,0.1,0.31,18.9,8,4,7,46.3,40.8,0.1,2.7,4.2
"35","La Liga","M","ESP",2022,"vs Rayo Vallecano","opponent",28,38,49,405,154,38,10.66,4.05,0.1,0.27,18.1,17,7,9,48.4,41.5,0.1,0.6,0.5
"36","La Liga","M","ESP",2022,"vs Real Madrid","opponent",31,38,31,428,124,29,11.26,3.26,0.07,0.23,18.7,14,3,5,43.9,39.8,0.09,-12.9,-11.8
"37","La Liga","M","ESP",2022,"vs Real Sociedad","opponent",32,38,37,413,121,29.3,10.87,3.18,0.08,0.26,18.7,15,5,6,38.7,34,0.08,-1.7,-2
"38","La Liga","M","ESP",2022,"vs Sevilla","opponent",33,38,30,420,118,28.1,11.05,3.11,0.07,0.24,18.7,15,2,4,36.9,33.8,0.08,-6.9,-5.8
"39","La Liga","M","ESP",2022,"vs Valencia","opponent",34,38,50,437,155,35.5,11.5,4.08,0.1,0.28,18.1,19,7,8,47.7,41.6,0.1,2.3,1.4
"40","La Liga","M","ESP",2022,"vs Villarreal","opponent",29,38,36,410,123,30,10.79,3.24,0.08,0.26,18.6,13,4,5,44.8,41.1,0.1,-8.8,-9.1
