Num_Players,Mins_Per_90,season_id,team_id
32,38,0,102
26,38,0,6
30,38,0,7
28,38,0,10
27,38,0,12
30,38,0,19
26,38,0,101
31,38,0,29
30,38,0,34
27,38,0,100
29,38,0,98
29,38,0,99
32,38,0,54
31,38,0,67
26,38,0,71
27,38,0,72
26,38,0,80
28,38,0,91
30,38,0,92
25,38,0,93
30,38,1,102
27,38,1,6
25,38,1,7
25,38,1,10
25,38,1,12
30,38,1,19
34,38,1,24
30,38,1,101
30,38,1,27
31,38,1,34
34,38,1,100
27,38,1,103
29,38,1,99
28,38,1,67
30,38,1,71
30,38,1,72
26,38,1,80
30,38,1,91
32,38,1,92
29,38,1,93
33,38,2,102
26,38,2,6
26,38,2,7
38,38,2,10
31,38,2,12
25,38,2,19
33,38,2,24
28,38,2,27
34,38,2,29
31,38,2,34
32,38,2,100
31,38,2,99
33,38,2,54
29,38,2,67
28,38,2,70
31,38,2,71
32,38,2,72
33,38,2,80
34,38,2,91
29,38,2,93
29,38,3,1
26,38,3,6
27,38,3,7
29,38,3,10
30,38,3,12
26,38,3,19
38,38,3,24
32,38,3,27
33,38,3,29
25,38,3,34
29,38,3,35
31,38,3,54
26,38,3,67
28,38,3,70
26,38,3,71
30,38,3,72
35,38,3,80
28,38,3,91
36,38,3,92
32,38,3,93
30,38,4,102
35,38,4,1
27,38,4,6
27,38,4,7
29,38,4,10
35,38,4,12
31,38,4,19
34,38,4,24
33,38,4,34
25,38,4,35
40,38,4,100
29,38,4,104
25,38,4,54
29,38,4,67
26,38,4,70
27,38,4,71
31,38,4,72
35,38,4,80
29,38,4,91
32,38,4,93
